color, c, m, y, k, similar to Pantone
MOOTONE 342 M,93,13,85,44,Pantone 3425c
MOOTONE 343 M,93,24,85,68,Pantone 3435c
MOOTONE 344 M,32,0,30,0,Pantone 344c
MOOTONE 345 M,43,0,41,0,Pantone 345c
MOOTONE 346 M,52,0,51,0,Pantone 346c
MOOTONE 347 M,93,0,100,0,Pantone 347c
MOOTONE 348 M,96,2,100,12,Pantone 348c
MOOTONE 349 M,90,12,95,40,Pantone 349c
MOOTONE 350 M,80,21,79,64,Pantone 350c
MOOTONE 351 M,27,0,23,0,Pantone 351c
MOOTONE 352 M,37,0,31,0,Pantone 352c
MOOTONE 353 M,41,0,36,0,Pantone 353c
MOOTONE 354 M,81,0,92,0,Pantone 354c
MOOTONE 355 M,91,0,100,0,Pantone 355c
MOOTONE 356 M,91,4,100,25,Pantone 356c
MOOTONE 357 M,92,18,94,61,Pantone 357c
MOOTONE 358 M,34,0,42,0,Pantone 358c
MOOTONE 359 M,40,0,50,0,Pantone 359c
MOOTONE 360 M,63,0,84,0,Pantone 360c
MOOTONE 361 M,77,0,100,0,Pantone 361c
MOOTONE 362 M,78,0,100,2,Pantone 362c
MOOTONE 363 M,76,3,100,18,Pantone 363c
MOOTONE 364 M,71,4,100,45,Pantone 364c
MOOTONE 365 M,24,0,44,0,Pantone 365c
MOOTONE 366 M,31,0,51,0,Pantone 366c
MOOTONE 367 M,41,0,68,0,Pantone 367c
MOOTONE 368 M,65,0,100,0,Pantone 368c
MOOTONE 369 M,68,0,100,0,Pantone 369c
MOOTONE 370 M,62,1,100,25,Pantone 370c
MOOTONE 371 M,50,9,98,61,Pantone 371c
MOOTONE 372 M,16,0,41,0,Pantone 372c
MOOTONE 373 M,21,0,48,0,Pantone 373c
MOOTONE 374 M,30,0,64,0,Pantone 374c
MOOTONE 375 M,46,0,90,0,Pantone 375c
MOOTONE 376 M,54,0,100,0,Pantone 376c
MOOTONE 377 M,50,1,100,20,Pantone 377c
MOOTONE 378 M,47,11,99,64,Pantone 378c
MOOTONE 379 M,13,0,61,0,Pantone 379c
MOOTONE 380 M,18,0,82,0,Pantone 380c
MOOTONE 381 M,25,0,98,0,Pantone 381c
MOOTONE 382 M,28,0,100,0,Pantone 382c
MOOTONE 383 M,29,1,100,18,Pantone 383c
MOOTONE 384 M,26,4,99,35,Pantone 384c
MOOTONE 385 M,24,14,94,55,Pantone 385c
